Year,State,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
2021,Connecticut,83771.0,93318.0,58565.0,83504.0,112170.0,18148.0,51535.0,66287.0,94548.0,54754.0,0.4985,106576.0,45511.0,51937.0,38493.0,2534376.0,568748.0,78028.0,138850.0,587690.0,48686.0
2022,Connecticut,88429.0,96890.0,61803.0,41848.0,110568.0,18148.0,59588.0,77277.0,98533.0,60275.0,0.5008,115183.0,50183.0,56751.0,41904.0,2545188.0,568906.0,91141.0,143069.0,584999.0,49857.0
2019,Delaware,70176.0,75469.0,51074.0,39248.0,98858.0,,68210.0,66754.0,77441.0,54087.0,0.4509,87148.0,37430.0,42673.0,32229.0,687311.0,183375.0,24267.0,42800.0,134287.0,11620.0
2020,Delaware,70633.5,76058.5,53339.0,49623.666666666664,105359.0,,62555.0,61568.0,77048.0,55279.5,0.4528,87140.0,39402.0,44655.5,33791.0,699207.5,180997.5,23506.5,42281.5,140291.0,11776.0
2021,Delaware,71091.0,76648.0,55604.0,59999.33333333333,111860.0,,56900.0,56382.0,76655.0,56472.0,0.4547,87132.0,41374.0,46638.0,35353.0,711104.0,178620.0,22746.0,41763.0,146295.0,11932.0
2022,Delaware,82174.0,89351.0,61228.0,70375.0,106917.0,,76255.0,62559.0,89282.0,71733.0,0.4407,100128.0,43181.0,50536.0,40305.0,724041.0,180292.0,24093.0,48071.0,151894.0,14956.0
2019,District of Columbia,92266.0,149734.0,48652.0,,103171.0,,68297.0,101321.0,153327.0,99799.0,0.5115,130291.0,61960.0,69852.0,56071.0,505145.0,67492.0,12389.0,16367.0,129825.0,19752.0
2020,District of Columbia,91177.0,147999.5,50732.0,,106600.0,,64147.0,103690.0,149651.0,94705.5,0.5209999999999999,133237.5,67208.5,73654.0,61466.0,491959.5,63634.0,11769.0,15492.5,125298.0,21677.0
2021,District of Columbia,90088.0,146265.0,52812.0,,110029.0,,59997.0,106059.0,145975.0,89612.0,0.5305,136184.0,72457.0,77456.0,66861.0,478774.0,59776.0,11149.0,14618.0,120771.0,23602.0
2022,District of Columbia,101027.0,149358.0,60891.0,39075.0,119607.0,,73921.0,125240.0,151084.0,117945.0,0.5111,146477.0,74436.0,80852.0,70426.0,479231.0,53376.0,11167.0,15868.0,126678.0,24411.0
2019,Florida,59227.0,62132.0,44039.0,48051.0,76412.0,51395.0,46553.0,57352.0,65149.0,52497.0,0.4808,71348.0,31876.0,36280.0,28958.0,15484502.0,3739283.0,656839.0,986530.0,2982643.0,182118.0
