State,Year,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
Massachusetts,2019,85843,90758,59035,27885,104420,90444,49742,69083,93275,51175,0.4803,108348,45737,52201,38781,4850576,1015844,142222,229385,1197208,142164
Michigan,2019,59584,63326,36833,44722,90409,,44259,43816,63704,49761,0.4634,75703,33328,41137,27339,6894627,1732283,273698,515815,1252685,85443
Minnesota,2019,74593,77311,41570,40051,86270,,58115,58613,77843,57591,0.4434,93584,40977,47704,34418,3847212,824041,115956,251001,942830,54838
Connecticut,2019,78833,85849,48927,39339,105110,,46488,58845,89685,49238,0.5024,101272,42196,50790,36085,2496420,587402,80959,132388,549166,42555
Florida,2019,59227,62132,44039,48051,76412,51395,46553,57352,65149,52497,0.4808,71348,31876,36280,28958,15484502,3739283,656839,986530,2982643,182118
Alabama,2019,51734,59727,35774,40438,60822,,31686,49421,59966,42113,0.4741,66171,31962,40190,25958,3360058,862665,176576,213757,547975,38431
Alaska,2019,75463,82171,69292,48497,80274,66806,57927,71403,82994,68246,0.4376,91971,40334,46001,34950,484058,115044,24112,38804,89583,6690
Arizona,2019,62055,63828,51643,41040,85768,60353,53522,62309,67821,53061,0.4591,74468,34397,38996,30308,4944540,967328,203357,384038,931038,67278
Arkansas,2019,48952,52488,33625,41263,83584,56380,43207,32488,52788,45874,0.4750,62387,30818,35650,26457,2036456,580998,129308,137073,307185,18260
California,2019,80440,82706,55140,57620,104138,83875,61687,81145,92154,63633,0.4866,91377,39549,44242,32406,26937872,4926010,620701,1523559,5889724,465535
Colorado,2019,77127,80121,53392,49286,83388,70589,53119,69433,84196,59002,0.4548,95164,40646,48082,32371,3974943,678101,158489,246503,1057825,73582
Delaware,2019,70176,75469,51074,39248,98858,-666666666,68210,66754,77441,54087,0.4509,87148,37430,42673,32229,687311,183375,24267,42800,134287,11620
District of Columbia,2019,92266,149734,48652,,103171,-666666666,68297,101321,153327,99799,0.5115,130291,61960,69852,56071,505145,67492,12389,16367,129825,19752
