Table with column headers in rows 3 and 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
"2022 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
39,OH,Ohio,1537902,1510878,1564926,13.4,13.2,13.6,445964,430664,461264,17.7,17.1,18.3,312747,299352,326142,16.8,16.1,17.5,65786,65173,66399,122422,115652,129192,19,18,20
40,OK,Oklahoma,608531,596773,620289,15.6,15.3,15.9,184552,177619,191485,19.7,19,20.4,129880,123768,135992,18.7,17.8,19.6,59632,58951,60313,51330,48158,54502,21.8,20.5,23.1
41,OR,Oregon,500100,486802,513398,12,11.7,12.3,111198,104554,117842,13.6,12.8,14.4,76942,70953,82931,12.5,11.5,13.5,75638,74498,76778,29493,26515,32471,14.8,13.3,16.3
42,PA,Pennsylvania,1483039,1455734,1510344,11.8,11.6,12,392438,377192,407684,15.2,14.6,15.8,279251,265672,292830,14.6,13.9,15.3,71789,71236,72342,104690,97644,111736,16,14.9,17.1
44,RI,Rhode Island,117858,111301,124415,11.2,10.6,11.8,28009,25048,30970,14,12.5,15.5,20166,17472,22860,13.6,11.8,15.4,80873,78900,82846,7046,5825,8267,13.7,11.3,16.1
45,SC,South Carolina,719381,702915,735847,14,13.7,14.3,210374,201245,219503,19.2,18.4,20,149973,141999,157947,18.4,17.4,19.4,64227,63535,64919,56636,52352,60920,20.4,18.9,21.9
46,SD,South Dakota,108694,103935,113453,12.4,11.9,12.9,32252,29599,34905,15.1,13.9,16.3,21655,19309,24001,13.9,12.4,15.4,70597,68664,72530,9526,8292,10760,16.7,14.5,18.9
47,TN,Tennessee,920748,898162,943334,13.3,13,13.6,269156,256603,281709,17.8,17,18.6,184826,173606,196046,16.7,15.7,17.7,65231,64399,66063,79048,73542,84554,20,18.6,21.4
48,TX,Texas,4118852,4064284,4173420,14,13.8,14.2,1413051,1378798,1447304,19.2,18.7,19.7,1002891,973170,1032612,18.3,17.8,18.8,72279,71839,72719,389616,373089,406143,20.9,20,21.8
49,UT,Utah,276360,265397,287323,8.3,8,8.6,78357,71528,85186,8.5,7.8,9.2,51908,45723,58093,7.5,6.6,8.4,88531,86848,90214,23728,20862,26594,10.5,9.2,11.8
50,VT,Vermont,63667,59971,67363,10.2,9.6,10.8,12569,11138,14000,11.1,9.8,12.4,8462,7161,9763,9.9,8.4,11.4,74555,72577,76533,3454,2855,4053,12.8,10.6,15
51,VA,Virginia,893559,874160,912958,10.6,10.4,10.8,234609,224993,244225,12.8,12.3,13.3,160033,151932,168134,11.8,11.2,12.4,85838,85086,86590,68787,63621,73953,14.4,13.3,15.5
53,WA,Washington,764405,746613,782197,10,9.8,10.2,185218,175136,195300,11.5,10.9,12.1,132429,123085,141773,11.1,10.3,11.9,91255,90428,92082,45672,41680,49664,11.1,10.1,12.1
54,WV,West Virginia,299275,289448,309102,17.4,16.8,18,78339,73839,82839,22.7,21.4,24,55374,51350,59398,21.5,19.9,23.1,54097,52812,55382,21501,19539,23463,25.3,23,27.6
55,WI,Wisconsin,621380,606478,636282,10.8,10.5,11.1,159967,152100,167834,13,12.4,13.6,111881,104564,119198,12.2,11.4,13,71050,70412,71688,42995,39597,46393,14,12.9,15.1
56,WY,Wyoming,63555,59381,67729,11.2,10.5,11.9,16818,14983,18653,13.2,11.8,14.6,11420,9727,13113,11.8,10.1,13.5,71275,68846,73704,4748,4054,5442,15.6,13.3,17.9
